year,population_pred,county
2031,196831.55826071263,Muscogee County
2032,196093.45892085688,Muscogee County
2033,195348.1691910856,Muscogee County
2034,194599.4162269251,Muscogee County
2025,126960.5108197275,Newton County
2026,130050.8955471149,Newton County
2027,133710.61380875082,Newton County
2028,137185.9196867405,Newton County
2029,140902.93042164843,Newton County
2030,145040.2866239574,Newton County
2031,149213.0770064476,Newton County
2032,153683.20535108147,Newton County
2033,158517.86337239755,Newton County
2034,163524.011260291,Newton County
2025,45261.4462134958,Oconee County
2026,45685.68389208295,Oconee County
2027,45930.78519220289,Oconee County
2028,46034.20250930748,Oconee County
2029,45943.431535968964,Oconee County
2030,45543.42959137232,Oconee County
2031,44786.517626772926,Oconee County
2032,43589.63218172279,Oconee County
2033,41777.504798367154,Oconee County
2034,39146.867596100084,Oconee County
2025,16562.46946511368,Oglethorpe County
2026,16910.584519284042,Oglethorpe County
2027,17279.98908873451,Oglethorpe County
2028,17669.426318697515,Oglethorpe County
2029,18053.702522447315,Oglethorpe County
2030,18441.424762290328,Oglethorpe County
2031,18840.206626140403,Oglethorpe County
2032,19244.688732619812,Oglethorpe County
2033,19654.20870302118,Oglethorpe County
2034,20071.90136162547,Oglethorpe County
2025,193610.69021828135,Paulding County
2026,199001.39623299433,Paulding County
2027,204634.50033417833,Paulding County
2028,210658.70830424153,Paulding County
2029,217074.22289268678,Paulding County
2030,223973.19839590223,Paulding County
2031,231387.15312982415,Paulding County
2032,239383.2039921526,Paulding County
2033,248003.51470516826,Paulding County
2034,257304.23917185445,Paulding County
2025,29576.921233765468,Peach County
2026,29929.250706731204,Peach County
2027,30294.570553764606,Peach County
2028,30658.390815975843,Peach County
2029,31017.167350710995,Peach County
2030,31375.24763546206,Peach County
2031,31732.504593646154,Peach County
2032,32087.99630642902,Peach County
2033,32442.3019777854,Peach County
2034,32795.98314629275,Peach County
2025,37926.31707462251,Pickens County
2026,38449.03360834327,Pickens County
2027,40078.49266878787,Pickens County
2028,40464.26837727781,Pickens County
2029,42499.39482412566,Pickens County
2030,42651.46213385203,Pickens County
2031,45262.85203995228,Pickens County
2032,45019.963231732836,Pickens County
2033,48451.02577026487,Pickens County
2034,47554.782525025264,Pickens County
2025,20891.60484331889,Pierce County
2026,21158.66268496109,Pierce County
2027,21390.036719062748,Pierce County
2028,21632.69687854852,Pierce County
2029,21900.90441136546,Pierce County
2030,22142.583030832502,Pierce County
2031,22401.698590008145,Pierce County
2032,22673.387330216025,Pierce County
2033,22928.136414844357,Pierce County
2034,23201.213363600134,Pierce County
2025,20999.85741457939,Pike County
2026,21383.326594106795,Pike County
2027,21735.25859781623,Pike County
2028,22099.244081691242,Pike County
2029,22482.92867943594,Pike County
2030,22870.215316838134,Pike County
2031,23265.492921422654,Pike County
2032,23671.975958360083,Pike County
2033,24087.230990490316,Pike County
2034,24511.5128641314,Pike County
2025,45141.50286986517,Polk County
2026,45489.2933801534,Polk County
2027,45975.946955861844,Polk County
2028,46380.532435660854,Polk County
2029,46855.423517734285,Polk County
2030,47296.47238524473,Polk County
2031,47775.7072893392,Polk County
2032,48244.035224276624,Polk County
2033,48735.52480437311,Polk County
2034,49227.029966323484,Polk County
2025,10282.274483275147,Pulaski County
2026,10383.3138279236,Pulaski County
2027,10506.207112315127,Pulaski County
2028,10650.618620953972,Pulaski County
2029,10825.910557137073,Pulaski County
2030,11037.816688103872,Pulaski County
2031,11293.229448374701,Pulaski County
2032,11597.630865589903,Pulaski County
2033,11955.268152597639,Pulaski County
2034,12368.179231527696,Pulaski County
2025,23650.412264877235,Putnam County
2026,23917.914435921088,Putnam County
2027,24156.393112194506,Putnam County
2028,24416.902346588144,Putnam County
2029,24687.67493700993,Putnam County
2030,24947.92107515043,Putnam County
2031,25214.92393280437,Putnam County
2032,25490.535945227533,Putnam County
2033,25764.67806923322,Putnam County
2034,26041.802447644062,Putnam County
2025,2365.951703316412,Quitman County
2026,2404.277566266758,Quitman County
2027,2438.6144880071747,Quitman County
2028,2467.7403888910435,Quitman County
2029,2490.5153261491855,Quitman County
2030,2506.380955561921,Quitman County
2031,2515.142666278081,Quitman County
2032,2516.871713164731,Quitman County
2033,2511.851543651601,Quitman County
2034,2500.5047314128883,Quitman County
2025,17907.486347675003,Rabun County
2026,18104.26652423045,Rabun County
2027,18305.758061996414,Rabun County
2028,18512.110467011407,Rabun County
2029,18724.522318066385,Rabun County
2030,18943.883402098523,Rabun County
2031,19171.130153449616,Rabun County
2032,19407.14619729846,Rabun County
2033,19652.782393855385,Rabun County
2034,19908.846101300092,Rabun County
2025,6050.578546144713,Randolph County
2026,6014.320937986073,Randolph County
2027,5979.426910973034,Randolph County
2028,5945.74240318348,Randolph County
2029,5912.986902317653,Randolph County
2030,5881.324384526447,Randolph County
2031,5851.0078327924175,Randolph County
2032,5822.277361186026,Randolph County
2033,5795.403912512309,Randolph County
2034,5770.715754902651,Randolph County
2025,205992.46564053957,Richmond County
2026,206281.6927676742,Richmond County
2027,206197.37790922134,Richmond County
2028,206342.6540045388,Richmond County
2029,206344.05366052265,Richmond County
2030,206433.03558026665,Richmond County
2031,206466.38941827774,Richmond County
2032,206532.9652775283,Richmond County
2033,206577.88176380153,Richmond County
2034,206635.27828451115,Richmond County
2025,98919.93172191313,Rockdale County
2026,100266.5337548159,Rockdale County
2027,101611.35020120791,Rockdale County
2028,102977.6747968757,Rockdale County
2029,104355.14643668185,Rockdale County
2030,105751.9135579194,Rockdale County
2031,107166.00357902123,Rockdale County
2032,108600.93687960118,Rockdale County
2033,110057.13262417383,Rockdale County
2034,111536.57763308469,Rockdale County
2025,4491.597695253179,Schley County
2026,4508.891094025478,Schley County
2027,4501.777924547007,Schley County
2028,4490.49098271916,Schley County
2029,4498.56537722411,Schley County
2030,4503.574196869311,Schley County
2031,4502.976145862874,Schley County
2032,4512.99381785324,Schley County
2033,4529.066989460845,Schley County
2034,4545.326067845641,Schley County
2025,14545.297826851955,Screven County
2026,14718.300630857366,Screven County
2027,14917.939892968016,Screven County
2028,15092.070676052243,Screven County
2029,15267.0622740393,Screven County
2030,15424.425359084265,Screven County
2031,15573.789546747761,Screven County
2032,15708.995703293363,Screven County
2033,15833.984936778728,Screven County
2034,15947.189324329325,Screven County
2025,9392.198954047744,Seminole County
2026,9442.499885582738,Seminole County
2027,9534.277779130483,Seminole County
2028,9632.452424781999,Seminole County
2029,9711.155949189055,Seminole County
2030,9791.470640585905,Seminole County
2031,9877.033820085322,Seminole County
2032,9960.475215960658,Seminole County
2033,10043.63901682496,Seminole County
2034,10129.263489655688,Seminole County
2025,71018.26197091397,Spalding County
2026,71919.99675037933,Spalding County
2027,72594.33913681087,Spalding County
2028,73300.7316483251,Spalding County
2029,74126.96937580858,Spalding County
2030,74925.4065419109,Spalding County
2031,75710.86427047648,Spalding County
2032,76545.04656071874,Spalding County
2033,77399.3911899291,Spalding County
2034,78256.96081906391,Spalding County
2025,27596.609662090512,Stephens County
2026,27789.38132078775,Stephens County
2027,28025.537109452318,Stephens County
2028,28241.045178861557,Stephens County
2029,28453.047413653734,Stephens County
2030,28678.968974087828,Stephens County
2031,28913.32764039454,Stephens County
2032,29151.412910850875,Stephens County
2033,29394.798107709215,Stephens County
2034,29644.48033882758,Stephens County
2025,4798.634147027485,Stewart County
2026,4834.185760533789,Stewart County
2027,4897.534577593437,Stewart County
2028,4944.1988580009765,Stewart County
2029,5001.677000600789,Stewart County
2030,5074.359663487542,Stewart County
2031,5153.637493371922,Stewart County
2032,5244.172540418954,Stewart County
2033,5348.659050572075,Stewart County
2034,5465.739329221327,Stewart County
2025,28960.60052738063,Sumter County
2026,28949.977001078427,Sumter County
2027,28929.848647410283,Sumter County
2028,28884.586355875254,Sumter County
2029,28811.97084952672,Sumter County
2030,28709.80037300792,Sumter County
2031,28573.23214797018,Sumter County
2032,28398.287108371656,Sumter County
2033,28181.976480943937,Sumter County
2034,27921.33391202889,Sumter County
2025,5806.542422955845,Talbot County
2026,5837.687198051006,Talbot County
2027,5868.97598828968,Talbot County
2028,5907.375377060288,Talbot County
2029,5946.284030125026,Talbot County
2030,5983.390544026693,Talbot County
2031,6019.783135702312,Talbot County
2032,6055.186599441468,Talbot County
2033,6088.473847138032,Talbot County
2034,6118.952644406394,Talbot County
2025,1642.0416400438103,Taliaferro County
2026,1659.2535644253574,Taliaferro County
2027,1676.1154496063307,Taliaferro County
2028,1693.171302957384,Taliaferro County
2029,1709.1622637516189,Taliaferro County
2030,1724.0649833454254,Taliaferro County
2031,1738.0332264109518,Taliaferro County
2032,1750.966074812365,Taliaferro County
2033,1762.816054322536,Taliaferro County
2034,1773.615047710449,Taliaferro County
2025,24105.440975971807,Tattnall County
2026,24308.570880309988,Tattnall County
2027,24388.607516868786,Tattnall County
2028,24232.744847574668,Tattnall County
2029,24317.72940197636,Tattnall County
2030,24455.2919779348,Tattnall County
2031,24362.828706241115,Tattnall County
2032,24362.83380429493,Tattnall County
2033,24498.064439537447,Tattnall County
2034,24477.541976359014,Tattnall County
2025,7771.106779008086,Taylor County
2026,7761.328642406962,Taylor County
2027,7747.693678098992,Taylor County
2028,7729.263374359531,Taylor County
2029,7705.92620630682,Taylor County
2030,7676.857092216952,Taylor County
2031,7641.229837327906,Taylor County
2032,7598.338891027193,Taylor County
2033,7547.4778586222965,Taylor County
2034,7487.91105356153,Taylor County
2025,11890.991297377263,Telfair County
2026,9526.980192313378,Telfair County
2027,9294.390057645816,Telfair County
2028,11665.989179104427,Telfair County
2029,7413.609125374276,Telfair County
2030,5551.962716645587,Telfair County
2031,9281.232881895283,Telfair County
2032,694.4172067463332,Telfair County
2033,-9385.523366718335,Telfair County
2034,-11769.396346277957,Telfair County
2025,8689.986456986931,Terrell County
2026,8675.221752117091,Terrell County
2027,8658.06465493796,Terrell County
2028,8639.388090667231,Terrell County
2029,8619.302284422558,Terrell County
2030,8598.061573612964,Terrell County
2031,8575.962013796932,Terrell County
2032,8553.283193362766,Terrell County
2033,8530.29208589394,Terrell County
2034,8507.248359620826,Terrell County
2025,46174.728521055775,Thomas County
2026,46215.841442541314,Thomas County
2027,46405.621513598264,Thomas County
2028,46601.288386809254,Thomas County
2029,46717.68776513779,Thomas County
2030,46844.726943283364,Thomas County
2031,47006.34815431859,Thomas County
2032,47152.26102939913,Thomas County
2033,47280.99857671742,Thomas County
2034,47418.26770750471,Thomas County
2025,41958.14828355057,Tift County
2026,42120.93570643674,Tift County
2027,42291.536110733236,Tift County
2028,42489.67214175149,Tift County
2029,42654.03066992879,Tift County
2030,42833.295792418125,Tift County
2031,43008.187041727244,Tift County
2032,43175.08301692221,Tift County
2033,43345.70649052051,Tift County
2034,43510.46746699714,Tift County
2025,27646.644299122967,Toombs County
2026,27873.969412295515,Toombs County
2027,28135.24227016627,Toombs County
2028,28342.06821114074,Toombs County
2029,28546.30674302746,Toombs County
2030,28768.155237912408,Toombs County
2031,28971.182671065202,Toombs County
2032,29158.871706969712,Toombs County
2033,29346.70546675022,Toombs County
2034,29525.571668266504,Toombs County
2025,13378.659660818314,Towns County
2026,13533.18113375799,Towns County
2027,13684.772095511988,Towns County
2028,13862.337192765714,Towns County
2029,14052.928103684942,Towns County
2030,14243.180301327131,Towns County
2031,14437.588079991554,Towns County
2032,14642.270355802579,Towns County
2033,14855.621617267818,Towns County
2034,15074.528828986116,Towns County
2025,6444.839122865155,Treutlen County
2026,6478.548301552225,Treutlen County
2027,6521.824097750527,Treutlen County
2028,6557.816343355521,Treutlen County
2029,6596.251634719267,Treutlen County
2030,6635.410626766101,Treutlen County
2031,6672.764496097608,Treutlen County
2032,6709.6906024168975,Treutlen County
2033,6745.356934695568,Treutlen County
2034,6779.160190536696,Treutlen County
2025,71936.66696733105,Troup County
2026,72212.30362548507,Troup County
2027,72316.18275492126,Troup County
2028,72227.4040270678,Troup County
2029,71921.28855992407,Troup County
2030,71371.27531361447,Troup County
2031,70545.14550144602,Troup County
2032,69402.48909322682,Troup County
2033,67888.57454547833,Troup County
2034,65924.83479870464,Troup County
2025,9140.039370141814,Turner County
2026,9262.653772869264,Turner County
2027,9387.67072046757,Turner County
2028,9513.106963512259,Turner County
2029,9638.702085968718,Turner County
2030,9764.816264737623,Turner County
2031,9892.097960118008,Turner County
2032,10021.234365540822,Turner County
2033,10152.83820011062,Turner County
2034,10287.397781525862,Turner County
2025,7690.556643838612,Twiggs County
2026,7680.995631847641,Twiggs County
2027,7681.091652796666,Twiggs County
2028,7669.8820146672515,Twiggs County
2029,7659.7276050119635,Twiggs County
2030,7649.989485655421,Twiggs County
2031,7635.10094443822,Twiggs County
2032,7615.483786068344,Twiggs County
2033,7590.6041411757415,Twiggs County
2034,7558.525865550677,Twiggs County
2025,28214.35762753331,Union County
2026,28966.423974217952,Union County
2027,29678.02706653858,Union County
2028,30378.12945604862,Union County
2029,31155.0976867668,Union County
2030,31981.22726015835,Union County
2031,32820.14784436841,Union County
2032,33696.1405918997,Union County
2033,34626.87402283172,Union County
2034,35600.51917540807,Union County
2025,28474.06561638833,Upson County
2026,28617.09019170699,Upson County
2027,28763.848522007258,Upson County
2028,28901.3536970316,Upson County
2029,29028.948952676335,Upson County
2030,29149.659449586492,Upson County
2031,29265.230881204865,Upson County
2032,29375.842659409616,Upson County
2033,29481.237660006835,Upson County
2034,29581.3640289303,Upson County
2025,69318.88301245979,Walker County
2026,69428.06314798254,Walker County
2027,69498.9287512393,Walker County
2028,69530.5944406114,Walker County
2029,69563.73974427576,Walker County
2030,69592.81299182212,Walker County
2031,69607.5965406953,Walker County
2032,69609.7882178202,Walker County
2033,69600.80451158967,Walker County
2034,69579.1576763801,Walker County
2025,113128.54642994356,Walton County
2026,117292.56149542995,Walton County
2027,120766.69216445019,Walton County
2028,124198.39375609509,Walton County
2029,128780.73916609591,Walton County
2030,132896.44425314356,Walton County
2031,136518.67520506762,Walton County
2032,141483.09999782938,Walton County
2033,146420.0390626488,Walton County
2034,150401.99513348565,Walton County
2025,36377.25262030952,Ware County
2026,36701.00520597274,Ware County
2027,36816.02626487799,Ware County
2028,36981.79244494935,Ware County
2029,37188.32133367913,Ware County
2030,37325.78851963711,Ware County
2031,37469.3468146277,Ware County
2032,37615.45602592613,Ware County
2033,37732.2395698422,Ware County
2034,37841.53118056685,Ware County
2025,5141.98293175212,Warren County
2026,5121.790516392964,Warren County
2027,5126.392532388092,Warren County
2028,5122.6066523846275,Warren County
2029,5112.190820582928,Warren County
2030,5106.420073198533,Warren County
2031,5098.203311394678,Warren County
2032,5086.397507183963,Warren County
2033,5073.841359760391,Warren County
2034,5059.056951356371,Warren County
2025,19667.75304829257,Washington County
2026,19556.966843079783,Washington County
2027,19538.36042476431,Washington County
2028,19528.277439156373,Washington County
2029,19471.639943108235,Washington County
2030,19399.388973788078,Washington County
2031,19359.212424584475,Washington County
2032,19353.46314626818,Washington County
2033,19356.663578720832,Washington County
2034,19360.434227685033,Washington County
2025,32719.686680918647,Wayne County
2026,33323.60148710507,Wayne County
2027,33952.06221450494,Wayne County
2028,34487.0887086929,Wayne County
2029,34970.70000186359,Wayne County
2030,35465.04948441722,Wayne County
2031,35895.115499235646,Wayne County
2032,36250.00662469672,Wayne County
2033,36599.862970756425,Wayne County
2034,36921.03877879851,Wayne County
2025,2290.5839968928367,Webster County
2026,2270.1306702383827,Webster County
2027,2238.404840719825,Webster County
2028,2210.6252795080973,Webster County
2029,2182.9116607162905,Webster County
2030,2152.7637130819667,Webster County
2031,2122.4287783115506,Webster County
2032,2091.0237923929617,Webster County
2033,2057.7783661746444,Webster County
2034,2022.4906983636765,Webster County
2025,6923.905851258953,Wheeler County
2026,7056.644055942031,Wheeler County
2027,6766.717775809624,Wheeler County
2028,7199.715662736937,Wheeler County
2029,6477.270034372769,Wheeler County
2030,7651.0559590651055,Wheeler County
2031,5675.052161847139,Wheeler County
2032,8637.809506262533,Wheeler County
2033,2929.5162015550013,Wheeler County
2034,9203.877644998269,Wheeler County
2025,30291.64129009858,White County
2026,30455.533744374137,White County
2027,30811.841336714046,White County
2028,31570.17267268041,White County
2029,31826.360525892982,White County
2030,31779.24648747671,White County
2031,32397.083464674695,White County
2032,32948.5481817899,White County
2033,32639.18588999025,White County
2034,32751.19246396105,White County
2025,105851.83467677569,Whitfield County
2026,106636.11521403432,Whitfield County
2027,107462.34056866377,Whitfield County
2028,108263.57903569221,Whitfield County
2029,109025.80281422159,Whitfield County
2030,109769.92227781987,Whitfield County
2031,110493.3487102766,Whitfield County
2032,111183.92407870492,Whitfield County
2033,111840.54100315364,Whitfield County
2034,112465.400070876,Whitfield County
2025,8979.524192689496,Wilcox County
2026,9064.055936790868,Wilcox County
2027,9138.744647105836,Wilcox County
2028,9209.208356006628,Wilcox County
2029,9270.809275215437,Wilcox County
2030,9323.652617085207,Wilcox County
2031,9366.21412506449,Wilcox County
2032,9398.079722805754,Wilcox County
2033,9418.760198316262,Wilcox County
2034,9428.157348350367,Wilcox County
2025,9563.340164160509,Wilkes County
2026,9564.692723239454,Wilkes County
2027,9561.264592689686,Wilkes County
2028,9555.70116049942,Wilkes County
2029,9546.051986205644,Wilkes County
2030,9532.095645575893,Wilkes County
2031,9512.998941241356,Wilkes County
2032,9488.1862341693,Wilkes County
2033,9457.014549510464,Wilkes County
2034,9418.88580690112,Wilkes County
2025,8697.941109057021,Wilkinson County
2026,8621.839448191791,Wilkinson County
2027,8613.359192909298,Wilkinson County
2028,8514.686740603871,Wilkinson County
2029,8448.175595015466,Wilkinson County
2030,8301.425462070727,Wilkinson County
2031,8160.799598372768,Wilkinson County
2032,7949.110743906857,Wilkinson County
2033,7728.196128388448,Wilkinson County
2034,7447.8531483660245,Wilkinson County
2025,20058.604619567206,Worth County
2026,20047.896400819594,Worth County
2027,19890.48589307464,Worth County
2028,19829.25787101506,Worth County
2029,19731.41568847799,Worth County
2030,19636.60297363183,Worth County
2031,19572.052689140728,Worth County
2032,19476.49283320666,Worth County
2033,19421.397701743783,Worth County
2034,19345.24670355434,Worth County
